Region,Country,iso3,year,lifeExpectancy,dentists,medics,nursesMid
European Union,Spain,ESP,2008,81.2,5.56,35.23,49.49
Asia,Sri Lanka,LKA,2010,75.4,0.5,7.03,16.94
Rest of Europe,Iceland,ISL,2004,81,9.82,36.14,144.52
European Union,Finland,FIN,2004,78.7,7.42,22.47,89.88
European Union,Germany,DEU,2012,80.5,8.4,39.22,104.06
South America,Ecuador,ECU,2000,72.8,1.19,8.12,13.96
European Union,Finland,FIN,2010,79.9,7.38,25.02,107.88
Rest of Europe,Russian Federation,RUS,2013,70.6,2.89,39.87,93.7
South America,Ecuador,ECU,2010,75.1,1.81,12.83,17.29
South America,Colombia,COL,2003,73.8,8.66,13.58,5.99
European Union,Germany,DEU,2009,79.8,8.12,36.62,101.69
European Union,Belgium,BEL,2006,79.4,7.35,28.86,95.97
Middle East,Oman,OMN,2004,73.9,1.73,16.1,36.37
Asia,India,IND,2009,66.2,0.85,6.47,13.89
Rest of Europe,Bosnia and Herzegovina,BIH,2000,74.4,1.74,13.12,40.3
Africa,Cabo Verde,CPV,2011,71.2,0.06,5.71,10.62
European Union,Bulgaria,BGR,2009,73.4,8.72,37.33,47.08
Rest of Europe,Bosnia and Herzegovina,BIH,2003,74.9,1.1,13.3,43.53
Asia,Malaysia,MYS,2002,73,0.95,7.24,21.5
Africa,Benin,BEN,2008,58.7,0.04,0.59,7.73
Africa,Egypt Arab Rep ,EGY,2004,69.3,1.03,NA,18.47
Africa,Cote d Ivoire,CIV,2005,50.1,0.1,0.85,4.48
Middle East,Qatar,QAT,2006,78.4,5,23.78,63.58
South America,Colombia,COL,2015,76.5,7.5,18.81,12.43
Rest of Europe,Montenegro,MNE,2013,76.5,0.43,21.29,53.33
Asia,Afghanistan,AFG,2015,63.4,0.04,2.9,1.32
European Union,Malta,MLT,2006,79.4,4.57,37.64,58.03
European Union,Lithuania,LTU,2004,72,6.49,36.27,75.71
Asia,Kyrgyz Republic,KGZ,2006,67.7,1.93,19.58,47.58
Africa,Morocco,MAR,2014,75.5,1.36,6.12,9.44
Oceania,Tonga,TON,2003,69.8,2.2,NA,NA
Rest of Europe,Ukraine,UKR,2014,71.2,5.86,29.36,65.36
Oceania,Samoa,WSM,2008,71.2,0.89,4.47,18.31
Africa,Madagascar,MDG,2010,63.4,0.09,1.86,2.13
Middle East,Saudi Arabia,SAU,2001,72.8,0.93,8.49,NA
Middle East,Iran Islamic Rep ,IRN,2006,72.3,1.3,5.15,16.24
Middle East,Israel,ISR,2012,81.7,7.06,35.03,50.53
Africa,Mozambique,MOZ,2011,53,0.03,0.54,4.02
Middle East,Syrian Arab Republic,SYR,2003,74,8.34,13.68,18.02
South America,Ecuador,ECU,2013,75.7,2.37,16.45,22.05
European Union,Denmark,DNK,2000,76.6,8.58,29.13,95.43
European Union,Romania,ROU,2007,72.6,5.56,23.09,60.75
Africa,Madagascar,MDG,2004,60.8,0.09,1.49,2.73
Rest of Europe,North Macedonia,MKD,2014,75.5,8.82,30.21,47.01
European Union,Latvia,LVA,2013,74,7.25,31.91,50.8
Rest of Europe,Belarus,BLR,2001,68.5,4.42,32.52,96.53
European Union,Bulgaria,BGR,2002,71.9,7.82,35.22,40.63
Rest of Europe,Switzerland,CHE,2009,82,5.21,38.36,141.67
